"","ENTREES","Genre","copies","DEVIS","distrib","produc","origine","AE","RD","coc","rang","duree","cannes","regard","quinzaine","venise","berlin","critlegit","critpopu","nbcritiques","rk_entrees","rk_copies","rk_devis","categ.copies"
"1",2191,"ComDram",6,NA,"NotAv","9","MINO","0","0","TP",4,124,"0","0","0","0","0",NA,NA,0,11.9815184290665,18.3956886724013,NA,"[5,10)"
"2",20542,"Comédie",80,NA,"NotAv","NotAv","F100","0","0","TP",2,96,"0","0","0","0","0",2,2,0.625,39.8718891105744,57.6432790962794,NA,"[50,100)"
"3",15454,"ComDram",30,NA,"NotAv","tvFR","F100","0","0","TP",2,105,"0","0","0","0","0",3.6,3,0.75,36.1073191221254,41.0975230593844,NA,"[20,50)"
"4",2832,"Drame",6,NA,"NotAv","NotAv","EUROPE","1","0","16",1,111,"0","0","0","0","0",3.33333333333333,3,0.4375,14.5227344324268,18.3956886724013,NA,"[5,10)"
"5",177519,"ComDram",220,NA,"NotAv","tvFR","F100","1","0","TPA",7,165,"0","0","0","0","0",3.2,3.5,0.8125,69.9569463404389,77.0079801015649,NA,"[200,400)"
"6",45795,"Drame",35,NA,"NotAv","NotAv","F100","1","1","TP",3,108,"0","0","0","0","0",4.6,2.66666666666667,0.875,50.8400714060695,43.7143745465851,NA,"[20,50)"
"7",62796,"ComDram",100,NA,"NotAv","tvFR",NA,"1","0","NotAv",3,120,"0","0","0","0","0",3.83333333333333,3.25,1,55.4867163708915,61.3379624831589,NA,"[100,200)"
"8",2912,"ComDram",10,NA,"NotAv","NotAv","MAJO","1","1","TP",8,122,"0","0","0","0","0",3.4,2,0.8125,14.8797647800063,24.8626800704736,NA,"[10,20)"
"9",301,"ComDram",5,NA,"NotAv","NotAv","EUROPE","0","0","TP",1,86,"0","0","0","0","0",2,2,0.125,2.18943610206868,16.1312053062494,NA,"[5,10)"
"10",3061,"Drame",6,NA,"NotAv","NotAv","MAJO","1","1","TP",5,96,"0","0","0","0","0",4,2.33333333333333,0.6875,15.3313031607687,18.3956886724013,NA,"[5,10)"
"11",624,"Drame",2,NA,"NotAv","NotAv","EUROPE","0","0","TP",1,95,"0","0","0","0","0",NA,NA,0,4.16360390633204,8.46201678930459,NA,"[1,5)"
"12",16308,"Comédie",80,NA,"5","tvFR","F100","0","0","TP",1,92,"0","0","0","0","0",2.33333333333333,3.66666666666667,0.5,36.8686338338759,57.6432790962794,NA,"[50,100)"
